NB,0.91864+-0.0027,0.79405+-0.0161,0.74085+-0.0206,0.76617+-0.0085
RF,0.91776+-0.0077,0.78919+-0.0549,0.75162+-0.0354,0.76735+-0.0097
LR,0.93667+-0.0018,0.83981+-0.0175,0.80194+-0.0191,0.82005+-0.0052
SVM,0.93873+-0.0021,0.82689+-0.0200,0.83561+-0.0170,0.83082+-0.0030
CNN_George,0.94250+-0.0036,0.87326+-0.0144,0.79628+-0.0111,0.83293+-0.0101
CNN_GRU,0.94345+-0.0023,0.88530+-0.0134,0.78842+-0.0218,0.83372+-0.0089
BGRU_P,0.94455+-0.0018,0.87522+-0.0034,0.80697+-0.0119,0.83966+-0.0063
BGRU,0.94455+-0.0018,0.88121+-0.0143,0.80018+-0.0120,0.83856+-0.0049
BLSTM,0.94302+-0.0027,0.88205+-0.0177,0.78949+-0.0088,0.83304+-0.0065
CNN_Tweaked,0.94393+-0.0020,0.88448+-0.0067,0.79193+-0.0085,0.83563+-0.0064
CNN_George_glove,0.91827+-0.0021,0.82529+-0.0198,0.69382+-0.0207,0.75336+-0.0071
CNN_GRU_glove,0.92147+-0.0023,0.83663+-0.0240,0.70259+-0.0332,0.76274+-0.0121
BGRU_P_glove,0.93579+-0.0019,0.86351+-0.0236,0.76551+-0.0192,0.81102+-0.0036
BGRU_glove,0.93401+-0.0013,0.86740+-0.0225,0.74909+-0.0230,0.80329+-0.0053
BLSTM_glove,0.93392+-0.0013,0.87441+-0.0096,0.73932+-0.0145,0.80104+-0.0059
CNN_George_w2v_cbow,0.90861+-0.0022,0.76799+-0.0098,0.70565+-0.0147,0.73536+-0.0077
CNN_GRU_w2v_cbow,0.91647+-0.0024,0.80521+-0.0179,0.70810+-0.0216,0.75308+-0.0084
CNN_Tweaked_glove,0.92730+-0.0018,0.83634+-0.0193,0.74230+-0.0202,0.78605+-0.0059
CNN_Tweaked_w2v_cbow,0.92169+-0.0033,0.82681+-0.0119,0.71474+-0.0122,0.76664+-0.0102
BGRU_P_w2v_cbow,0.93579+-0.0022,0.85063+-0.0090,0.78063+-0.0210,0.81388+-0.0090
BGRU_w2v_cbow,0.93439+-0.0031,0.85397+-0.0219,0.76780+-0.0225,0.80810+-0.0095
BLSTM_w2v_cbow,0.93419+-0.0023,0.84986+-0.0105,0.77078+-0.0182,0.80818+-0.0085
CNN_George_w2v_sg,0.93751+-0.0028,0.86008+-0.0119,0.77995+-0.0164,0.81789+-0.0092
CNN_GRU_w2v_sg,0.93733+-0.0028,0.85080+-0.0160,0.79102+-0.0140,0.81962+-0.0077
BGRU_P_w2v_sg,0.94496+-0.0023,0.87954+-0.0155,0.80491+-0.0145,0.84035+-0.0066
BGRU_w2v_sg,0.94390+-0.0029,0.87753+-0.0092,0.80010+-0.0166,0.83690+-0.0097
BLSTM_w2v_sg,0.94460+-0.0028,0.88240+-0.0053,0.79865+-0.0154,0.83837+-0.0095
CNN_George_ft_cbow,0.92722+-0.0021,0.82062+-0.0167,0.76315+-0.0140,0.79056+-0.0042
CNN_Tweaked_w2v_sg,0.94075+-0.0034,0.86697+-0.0163,0.79277+-0.0069,0.82814+-0.0089
CNN_GRU_ft_cbow,0.93016+-0.0039,0.83587+-0.0244,0.76284+-0.0132,0.79733+-0.0087
BGRU_P_ft_cbow,0.94570+-0.0022,0.89899+-0.0160,0.78727+-0.0163,0.83917+-0.0069
BLSTM_ft_cbow,0.94227+-0.0029,0.87859+-0.0197,0.78888+-0.0127,0.83107+-0.0074
BGRU_ft_cbow,0.94468+-0.0019,0.88433+-0.0093,0.79705+-0.0092,0.83836+-0.0057
CNN_Tweaked_ft_cbow,0.93476+-0.0025,0.85284+-0.0153,0.77124+-0.0224,0.80960+-0.0093
CNN_George_ft_sg,0.94413+-0.0024,0.88048+-0.0081,0.79812+-0.0179,0.83712+-0.0087
BGRU_P_ft_sg,0.95006+-0.0024,0.90170+-0.0110,0.81117+-0.0152,0.85390+-0.0079
CNN_GRU_ft_sg,0.94606+-0.0021,0.88979+-0.0124,0.79965+-0.0140,0.84215+-0.0065
BGRU_ft_sg,0.95028+-0.0025,0.90765+-0.0122,0.80590+-0.0082,0.85370+-0.0072
BLSTM_ft_sg,0.95050+-0.0021,0.89785+-0.0035,0.81804+-0.0120,0.85604+-0.0070
CNN_Tweaked_ft_sg,0.94764+-0.0019,0.89322+-0.0069,0.80560+-0.0191,0.84694+-0.0079
